os,ip,nic,target,suite name,case name,2019-10-18_result,ower
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_2pf_2vf_1vm,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_pf_vf_reset,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_2pf_2vf_1vm,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_pf_vf_reset,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2d_testpmd_stream,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2k_testpmd_stream,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_k2d_scapy_stream,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_add_pvid_vf,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_pvid_vf_tx,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_rx,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_strip,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_tx, N/A,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_hotplug,test_one_device_hotplug,failed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_hotplug,test_one_device_reset_hotplug,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_hotplug,test_two_device_hotplug,failed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_hotplug,test_two_device_reset_hotplug,failed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_managment_channel,blocked,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqdown,blocked,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqmax,blocked,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqmin,blocked,
